DE	EN	LEN	ROW	TIME
	And finally he says 'ladies and gentlemen',	7	680	00:04:35b
	which means everyone else.	4	690	00:04:43a
	What does Doctor Eriks do next?	6	700	00:04:43b
	In thinking about the topic,	5	710	00:04:43c
	I felt it would be appropriate to address briefly the history of bananas and banana farming,	16	720	00:04:47a
	the many qualities of bananas,	5	730	00:04:54a
	both positive and negative,	4	740	00:04:54b
	and of course examine the uses of the banana.	9	750	00:05:00a
	He outlines the three main parts of his speech.	9	760	00:05:00b
	Listen to him again.	4	770	00:05:00c
	What are the three parts of his talk?	8	780	00:05:08a
	I felt it would be appropriate to address briefly the history of bananas and banana farming,	16	790	00:05:12a
	the many qualities of bananas,	5	800	00:05:12b
	both positive and negative,	4	810	00:05:17a
	and of course examine the uses of the banana.	9	820	00:05:22a
	The first one is the history of bananas and banana farming,	11	830	00:05:22b
	the second one is the many qualities of bananas,	9	840	00:05:29a
	and the third one is the uses of the banana.	10	850	00:05:29b
	In listing things like this in a speech,	8	860	00:05:37a
	it's important to use pauses in speech so that the audience can follow and hear the three points.	18	870	00:05:43a
	How does it sound without pauses?	6	880	00:05:46a
	I felt it would be appropriate to address briefly the history of bananas and banana farming,	16	890	00:05:51a
	the many qualities of bananas,	5	900	00:05:51b
	both positive and negative,	4	910	00:05:55a
	and of course examine the uses of the banana.	9	920	00:05:59a
	In making a speech, it's important to use pauses to help make your point.	14	930	00:05:59b
	In the list, pause before each point in the list.	10	940	00:06:06a
	Pause between sentences, and before making a major point,	9	950	00:06:12a
	like this:	2	960	00:06:12b
	The point I want to make is this:	8	970	00:06:12c
	not all bananas are bent.	5	980	00:06:19a
	Stress and intonation are important too.	6	990	00:06:19b
	In saying, not all bananas are bent,	7	1000	00:06:25a
	Doctor Eriks stresses the word 'all' because it is the most important word in that statement.	16	1010	00:06:31a
	In listing the three parts of his speech,	8	1020	00:06:31b
	notice how his intonation is rising in the first two parts,	11	1030	00:06:37a
	and then falling for the last.	6	1040	00:06:43a
	This indicates to the audience he has finished the list:	10	1050	00:06:47a
	The history of bananas, the many qualities of bananas,	9	1060	00:06:47b
	and the uses of the banana.	6	1070	00:06:55a
	In describing his topic, he said,	6	1080	00:06:55b
	I felt it would be appropriate to address and then names the parts of his speech.	16	1090	00:07:01a
	To 'address' something here means to talk about it.	9	1100	00:07:01b
	You could also use words like consider,	7	1110	00:07:08a
	discuss, outline, cover.	3	1120	00:07:15a
	Pronunciation is important too -	5	1130	00:07:15b
	it's a good idea to practise your speech out loud,	10	1140	00:07:15c
	especially any difficult words.	4	1150	00:07:22a
	I've also noted their positive nutritionist,	6	1160	00:07:28a
	nutrition, nutritional qualities.	3	1170	00:07:28b
	What does Doctor Eriks do next in his speech?	9	1180	00:07:35a
	But first let me tell you a story about a banana.	11	1190	00:07:40a
	He says he is going to tell a story about a banana.	12	1200	00:07:40b
	When making a speech, it's good to put in some personal touches -	13	1210	00:07:45a
	a story of something that happened or a joke.	9	1220	00:07:51a
	We move now to the end of Sam's speech.	9	1230	00:07:51b
	How does he finish?	4	1240	00:07:56a
	Ladies and gentlemen, I hope I've been able to clear up a few misconceptions about bananas,	16	1250	00:07:56b
	and leave you with some new ideas about how we might view bananas in the future.	16	1260	00:08:07a
	First, he signals that he is ending his speech,	9	1270	00:08:07b
	by repeating 'ladies and gentlemen'.	5	1280	00:08:07c
	Then he says, I hope I've been able to clear up a few misconceptions.	14	1290	00:08:13a
	By using the present perfect,	5	1300	00:08:19a
	I have been able' he signals that he is talking about his speech up to now.	16	1310	00:08:26a
	Practise with Doctor Eriks some ways of signalling the end of a speech:	13	1320	00:08:31a
	I hope I've been able to clarify the issue.	9	1330	00:08:37a
	I hope I've addressed the major concerns about this issue.	10	1340	00:08:44a
	Next he restates the major points he's made.	8	1350	00:08:44b
	We've seen, in looking at their history,	7	1360	00:08:44c
	that bananas have a significant role in many cultures.	9	1370	00:08:49a
	I've also noted their positive nutritional qualities.	7	1380	00:08:56a
	And in addressing the main question,	6	1390	00:08:56b
	why bananas are bent, we've learned that the reasons are many and complex.	13	1400	00:09:02a
	Notice the use of the present perfect in re-stating these points.	11	1410	00:09:09a
	we've seen I've noted we've learned	6	1420	00:09:15a
	There are other phrases that could be used in this way:	11	1430	00:09:19a
	We've observed I've outlined I've referred to,	7	1440	00:09:22a
	and so on.	3	1450	00:09:26a
	Finally, how does Doctor Eriks wrap up his speech?	9	1460	00:09:30a
	Madam Chair, thank you for the opportunity to address the conference today,	12	1470	00:09:30b
	and thank you ladies and gentleman for your kind attention.	10	1480	00:09:35a
	Well, there's a lot more we can say about making formal speeches,	12	1490	00:09:41a
	but I hope you've learned some useful tips today.	9	1500	00:09:41b
	Thank you for your attention,	5	1510	00:09:46a
	and I'll see you next time for	7	1520	00:09:46b
	The Business of English.	4	1530	00:09:46c
