DE	EN	LEN	ROW	TIME
Nun, wenn es keine weitere Diskussion gibt,	Well, if there's no more discussion,	6	330	00:01:24a
werden wir darüber abstimmen.	we'll put it to a vote.	6	340	00:01:26a
Hört, hört!	Hear, hear!	2	350	00:01:26b
	Today we're looking again at meetings.	6	360	00:01:26c
	In meetings, especially formal meetings,	5	370	00:01:38a
	it's important to keep the discussion relevant,	7	380	00:01:43a
	and to the point.	4	390	00:01:43b
	So we're looking at some words and phrases that a Chairperson might use to stop irrelevant discussion	17	400	00:01:49a
	and interruptions.	2	410	00:01:49b
	We're also looking at ways of stating an opinion,	9	420	00:01:57a
	and agreeing or disagreeing.	4	430	00:02:00a
	First of all, notice how Tan states that he doesn't agree with the report.	14	440	00:02:05a
	Well, I'm not convinced that the work is as urgent as this report suggests.	14	450	00:02:10a
	Tan says, I'm not convinced.	5	460	00:02:10b
	He means he disagrees with the report.	7	470	00:02:10c
	But by saying he's not convinced -	7	480	00:02:17a
	he is leaving himself open to another point of view.	10	490	00:02:23a
	Let's look at some phrases you can use to express disagreement.	11	500	00:02:28a
	I'm afraid I'm not convinced.	5	510	00:02:33a
	I don't entirely agree.	4	520	00:02:37a
	I'm not sure about that.	5	530	00:02:41a
	I can't agree with you there.	6	540	00:02:46a
	I don't think that's quite correct.	6	550	00:02:46b
	Notice that all of these ways of disagreeing are polite.	10	560	00:02:53a
	If you use stronger terms of disagreement,	7	570	00:02:53b
	it can sound rude, or argumentative.	6	580	00:03:01a
	Well, I'm not convinced that the work is as urgent as this report suggests,	14	590	00:03:01b
	so perhaps.	2	600	00:03:05a
	Don't be ridiculous!	3	610	00:03:08a
	Excuse me?	2	620	00:03:08b
	When disagreeing, the speaker normally also gives a reason for their opinion,	12	630	00:03:12a
	and may use an expression showing that it is their opinion.	11	640	00:03:18a
	Listen to Walter.	3	650	00:03:18b
	Well, as far as I'm concerned,	6	660	00:03:18c
	it's a question of safety.	5	670	00:03:23a
	So I think we should go ahead.	7	680	00:03:25a
	Are you suggesting that someone could get hurt?	8	690	00:03:28a
	In my opinion, es.	4	700	00:03:28b
	Let's practise some phrases you can use to introduce your opinion about something.	13	710	00:03:32a
	In my opinion As far as I'm concerned If you ask me	12	720	00:03:45a
	The way I see it is this.	7	730	00:03:45b
	And of course you can simply state,	7	740	00:03:45c
	I think or I believe.	5	750	00:03:56a
	Notice that Tan asks for clarification of the point Walter makes.	11	760	00:03:56b
	He wants to make sure he understands what Walter is saying.	11	770	00:04:05a
	Let's look at some ways of seeking clarification,	8	780	00:04:05b
	and checking understanding.	3	790	00:04:05c
	Practise these with Tan.	4	800	00:04:11a
	Are you suggesting that someone could get hurt?	8	810	00:04:18a
	Are you saying that someone could get hurt?	8	820	00:04:24a
	Do you mean someone could get hurt?	7	830	00:04:28a
	Are you implying that someone could get hurt?	8	840	00:04:28b
	One of the roles of the Chairperson is to make sure everyone gets to have their say.	17	850	00:04:35a
	All discussion should go through the chair that is,	9	860	00:04:41a
	people talk to the Chairperson,	5	870	00:04:41b
	not to each other directly.	5	880	00:04:41c
	So the Chairperson sometimes has to interrupt,	7	890	00:04:48a
	or stop someone from speaking.	5	900	00:04:48b
	Let's see how Denise does this.	6	910	00:04:55a
	Well, I'm not convinced that the work is as urgent as this report suggests,	14	920	00:04:55b
	so perhaps.	2	930	00:05:01a
	Oh come on, the building is practically falling down!	9	940	00:05:04a
	Sorry Lin, I don't think Tan had finished.	8	950	00:05:04b
	We'll get to you in a minute.	7	960	00:05:09a
	Sorry.	1	970	00:05:09b
	By saying, I don't think Tan had finished,	8	980	00:05:13a
	Denise is politely telling Lin that she shouldn't interrupt,	9	990	00:05:13b
	and Lin apologises.	3	1000	00:05:13c
	But what should you do if someone keeps trying to interrupt?	11	1010	00:05:20a
	So perhaps, Oh come on - the building is practically falling down!	12	1020	00:05:26a
	Sorry Lin, I don't think Tan had finished.	8	1030	00:05:26b
	We'll get to you in a minute.	7	1040	00:05:30a
	Well it's obvious.	3	1050	00:05:32a
	Yes, but we do need to hear everyone's views on this.	11	1060	00:05:35a
	Let's just vote on it.	5	1070	00:05:36a
	All in good time Lin.	5	1080	00:05:36b
	Please go on Tan.	4	1090	00:05:36c
	Notice that the language the chairperson uses is always polite,	10	1100	00:05:44a
	but firm.	2	1110	00:05:44b
	She uses 'sorry' 'thank you' and 'please' as a way of respecting the other members of the committee,	18	1120	00:05:52a
	although she is in charge.	5	1130	00:05:57a
	On the other hand, there is a time factor it may be necessary to cut people short.	17	1140	00:06:04a
	and furthermore, if we look more closely at some of the estimates,	12	1150	00:06:04b
	we can see, Excuse me - sorry Tan,	8	1160	00:06:07a
	perhaps we should move on.	5	1170	00:06:12a
	I'm nearly finished.	3	1180	00:06:13a
	Yes but we do have to keep an eye on the time.	12	1190	00:06:13b
	Perhaps we can come back to that point later.	9	1200	00:06:20a
	I think it's quite important.	5	1210	00:06:21a
	It is important, but I think it's more important we hear everyone's views on this.	15	1220	00:06:21b
	Barbara?	1	1230	00:06:29a
	There were two key phrases used to stop Tan from sending everyone to sleep.	14	1240	00:06:29b
	The first one, perhaps we should move on is phrased as a suggestion but it is said in a firm	20	1250	00:06:34a
	way, with a falling intonation at the end.	8	1260	00:06:44a
	Practise with me:	3	1270	00:06:44b
	Perhaps we should move on.	5	1280	00:06:48a
	Perhaps we should move on.	5	1290	00:06:48b
	This falling intonation makes it a more definite statement,	9	1300	00:06:53a
	rather than a suggestion.	4	1310	00:06:56a
	The second one was put as a reason for moving on -	12	1320	00:06:56b
	that time is short.	4	1330	00:06:56c
	Nnotice the emphasis on the word 'do',	7	1340	00:07:03a
	and practise after me:	4	1350	00:07:03b
	We do have to keep an eye on the time.	10	1360	00:07:07a
	We do have to keep an eye on the time.	10	1370	00:07:07b
	Remember we said the discussion has to be relevant.	9	1380	00:07:14a
	What do we do if someone makes an irrelevant comment?	10	1390	00:07:19a
	What about the problem with parking.	6	1400	00:07:19b
	There were no places again this morning.	7	1410	00:07:24a
	Maybe if you got to work on time.	8	1420	00:07:25a
	All comments through the chair if you don't mind Walter.	10	1430	00:07:25b
	Parking isn't on the agenda for this meeting.	8	1440	00:07:30a
	Perhaps you could suggest it for our next meeting Barbara.	10	1450	00:07:36a
	When Walter makes a comment directly to Barbara,	8	1460	00:07:36b
	Denise says:	2	1470	00:07:40a
	All comments through the Chair if you don't mind.	9	1480	00:07:43a
	This is a way of reminding Walter of correct meeting procedure.	11	1490	00:07:43b
	All comments through the Chair means he must speak to the meeting,	12	1500	00:07:49a
	not directly to one person at the table.	8	1510	00:07:49b
	Denise suggests that, Parking isn't on the agenda for this meeting.	11	1520	00:07:56a
	But so that Barbara doesn't feel bad,	7	1530	00:08:01a
	she suggests it could be discussed at another time.	9	1540	00:08:06a
	Finally, we've looked at disagreeing,	5	1550	00:08:06b
	Let's look at ways of agreeing with a point.	9	1560	00:08:12a
	Are you implying we should have done something earlier?	9	1570	00:08:15a
	Much earlier.	2	1580	00:08:15b
	It's a real concern.	4	1590	00:08:17a
	Hear hear!	2	1600	00:08:19a
	Well, in that case, I agree -	7	1610	00:08:19b
	we should do something now.	5	1620	00:08:24a
	I think so too.	4	1630	00:08:24b
	Agreeing is simpler than disagreeing,	5	1640	00:08:24c
	as you don't have to state a reason.	8	1650	00:08:28a
	Repeat these phrases after me:	5	1660	00:08:32a
	I agree I agree	4	1670	00:08:34a
	In that case, I agree.	5	1680	00:08:34b
	In that case, I agree.	5	1690	00:08:38a
	I'll go along with you.	5	1700	00:08:38b
	I'll go along with you.	5	1710	00:08:41a
	I couldn't agree more.	4	1720	00:08:41b
	I couldn't agree more.	4	1730	00:08:45a
	That's right.	2	1740	00:08:45b
	That's right.	2	1750	00:08:48a
	I concur.	2	1760	00:08:48b
	I concur.	2	1770	00:08:50a
	Absolutely!	1	1780	00:08:50b
	Absolutely!	1	1790	00:08:55a
	Let's review some of the other important expressions we've looked at in today's episode.	14	1800	00:09:01a
	I'm afraid I'm not convinced.	5	1810	00:09:06a
	Are you suggesting that someone could get hurt?	8	1820	00:09:11a
	I can't quite agree with you there.	7	1830	00:09:15a
	As far as I'm concerned, it's a question of safety.	10	1840	00:09:22a
	Perhaps we should move on.	5	1850	00:09:26a
	We do have to keep an eye on the time.	10	1860	00:09:26b
	When giving opinions in a meeting,	6	1870	00:09:26c
	it's important to use phrases such as 'in my opinion',	10	1880	00:09:35a
	from my point of view' or 'I think',	8	1890	00:09:35b
	instead of just stating your opinions as facts.	8	1900	00:09:42a
	This is respectful of other people who may have different views.	11	1910	00:09:49a
	But when you strongly agree with something someone else says,	10	1920	00:09:49b
	you can say 'Hear Hear!' That's all for today -	10	1930	00:09:56a
	see you next time on	5	1940	00:09:56b
	The Business of English.	4	1950	00:09:56c
